"n1","n2"
1,53
1,92
1,173
1,67
1,228
3,56
3,33
3,40
3,135
3,94
5,43
5,184
5,91
5,188
5,197
7,227
7,209
7,63
7,6
7,61
8,179
8,115
8,92
8,188
8,221
10,224
10,12
10,93
10,24
10,122
11,87
11,177
11,243
11,178
11,28
12,79
12,51
12,151
12,76
12,156
13,106
13,31
13,12
13,82
13,59
14,43
14,127
14,71
14,76
14,145
15,9
15,151
15,211
15,68
15,129
17,115
17,144
17,158
17,56
17,3
18,146
18,36
18,45
18,162
18,78
19,137
19,230
19,239
19,131
19,231
20,37
20,168
20,138
20,132
20,161
23,187
23,234
23,4
24,194
24,109
24,10
24,28
24,110
25,31
25,65
25,74
25,21
25,78
26,77
26,75
26,200
26,180
26,170
27,60
28,224
28,177
28,183
28,2
28,145
29,242
29,176
29,175
29,63
29,233
30,194
30,31
30,35
30,222
30,116
31,143
31,144
31,150
31,161
31,119
32,158
32,146
32,68
32,201
32,195
33,155
33,174
33,56
33,3
33,164
34,97
34,22
34,237
34,78
34,148
37,168
37,134
37,125
37,69
37,157
38,143
38,183
38,174
38,33
38,17
39,187
39,41
39,196
40,179
40,115
40,154
40,158
40,56
41,39
42,33
42,165
44,183
44,238
44,75
44,210
44,246
45,138
45,132
45,245
45,43
45,92
46,207
46,12
46,237
46,163
46,182
47,194
47,53
47,173
47,191
47,19
50,169
50,79
50,113
50,107
50,57
53,9
53,2
53,221
53,182
53,46
55,12
55,184
55,76
55,197
55,145
56,179
56,33
56,3
56,135
58,128
58,85
58,63
58,229
58,142
59,104
59,13
59,94
59,112
59,147
60,205
60,196
60,27
61,169
61,238
61,210
61,175
61,248
64,86
64,28
64,188
64,17
64,114
65,200
65,25
65,78
65,223
65,104
68,9
68,167
68,178
68,71
68,46
70,207
70,237
70,131
70,47
71,14
71,43
71,109
71,237
71,188
72,138
72,154
72,151
72,185
72,240
74,43
74,226
74,45
74,230
74,119
76,93
76,184
76,55
76,145
76,232
77,244
77,102
77,233
77,229
77,61
79,144
79,184
79,107
79,197
79,129
82,79
82,79
82,49
82,178
82,135
83,97
83,222
83,185
83,170
83,48
84,242
84,7
84,229
84,121
84,247
86,179
86,14
86,178
86,82
86,188
88,79
88,249
88,193
88,200
88,215
90,241
90,22
90,89
90,221
90,231
93,117
93,88
93,24
93,10
93,122
94,143
94,115
94,127
94,21
94,217
96,227
96,209
96,172
96,201
96,219
98,130
98,15
98,199
98,189
98,211
99,127
99,192
99,213
99,74
99,119
101,117
101,244
101,95
101,96
101,124
102,176
102,77
102,85
102,124
102,233
104,138
104,245
104,79
104,183
104,2
105,139
105,183
105,158
105,213
105,217
106,138
106,151
106,149
106,21
106,13
107,79
107,144
107,243
107,82
107,122
108,227
108,151
108,146
108,77
108,13
111,241
111,170
111,235
112,138
112,45
112,149
112,74
112,133
113,144
113,88
113,42
113,133
113,112
114,193
114,86
114,28
114,204
114,64
115,194
115,224
115,138
115,177
115,105
117,227
117,93
117,24
117,81
117,6
118,244
118,102
118,198
118,124
