"Date","MoisturizerSales","GoogleTrendVolumeEczema","Month"
2010-08-15,64.5264424511901,66,"August"
2010-08-22,65.9546445715927,60,"August"
2010-08-29,64.8429682374207,60,"August"
2010-09-05,66.0929366547096,60,"September"
2010-09-12,60.8877983864739,60,"September"
2010-09-19,62.3341356997182,61,"September"
2010-09-26,59.526682936348,59,"September"
2010-10-03,69.3314507009578,61,"October"
2010-10-10,59.2496914268753,61,"October"
2010-10-17,59.0121615712089,65,"October"
2010-10-24,64.1233059208041,61,"October"
2010-10-31,66.3854295172011,63,"October"
2010-11-07,64.0830190340022,65,"November"
2010-11-14,66.0194364704596,64,"November"
2010-11-21,62.8211039312319,60,"November"
2010-11-28,61.9421579046836,65,"November"
2010-12-05,67.4769864756667,68,"December"
2010-12-12,68.3883331342455,63,"December"
2010-12-19,73.0311035389321,58,"December"
2010-12-26,81.2294029793866,66,"December"
2011-01-02,64.0757800877739,70,"January"
2011-01-09,73.9068966334517,68,"January"
2011-01-16,81.9418554203049,69,"January"
2011-01-23,74.3921663418658,70,"January"
2011-01-30,70.7995329128868,68,"January"
2011-02-06,71.7524082573678,70,"February"
2011-02-13,78.542069510304,67,"February"
2011-02-20,79.5834840532079,67,"February"
2011-02-27,73.5781363101207,65,"February"
2011-03-06,78.5532922364033,71,"March"
2011-03-13,76.8856658011515,66,"March"
2011-03-20,73.3563757616133,71,"March"
2011-03-27,71.4079576261318,72,"March"
2011-04-03,78.3991364896634,72,"April"
2011-04-10,75.2595739940033,72,"April"
2011-04-17,74.3287513044215,74,"April"
2011-04-24,84.6112353144144,69,"April"
2011-05-01,72.4808719989257,71,"May"
2011-05-08,79.5600724915856,70,"May"
2011-05-15,81.3947262929413,66,"May"
2011-05-22,73.3526900454079,66,"May"
2011-05-29,78.2714960693063,68,"May"
2011-06-05,89.151046975657,73,"June"
2011-06-12,83.418884068237,66,"June"
2011-06-19,79.6325842066553,67,"June"
2011-06-26,75.5098275615935,67,"June"
2011-07-03,78.940748080269,68,"July"
2011-07-10,76.3964147253291,67,"July"
2011-07-17,75.1539907901634,66,"July"
2011-07-24,71.5172784390299,71,"July"
2011-07-31,71.1126916912796,67,"July"
2011-08-07,70.8725809134062,67,"August"
2011-08-14,66.6125432063072,67,"August"
2011-08-21,65.3430557677899,64,"August"
2011-08-28,64.9255004467222,65,"August"
2011-09-04,64.8259911333627,66,"September"
2011-09-11,62.0121841214716,67,"September"
2011-09-18,68.920629345751,65,"September"
2011-09-25,62.7414560806917,65,"September"
2011-10-02,60.7308207843911,69,"October"
2011-10-09,66.5390141863689,67,"October"
2011-10-16,59.5034925740599,68,"October"
2011-10-23,59.8080559475458,68,"October"
2011-10-30,63.2452446204287,69,"October"
2011-11-06,79.808704898556,70,"November"
2011-11-13,68.8159665070593,68,"November"
2011-11-20,64.9508428608418,65,"November"
2011-11-27,63.4048914380023,68,"November"
2011-12-04,63.8553841462331,68,"December"
2011-12-11,65.955283824361,66,"December"
2011-12-18,69.6389143739605,62,"December"
2011-12-25,85.1342776183588,68,"December"
2012-01-01,66.1451340044721,76,"January"
2012-01-08,72.7914766839725,76,"January"
2012-01-15,86.3111863428686,83,"January"
2012-01-22,76.0519105929319,81,"January"
2012-01-29,70.4838997093445,82,"January"
2012-02-05,75.2826977538215,82,"February"
2012-02-12,73.2659251171398,77,"February"
2012-02-19,75.8194954781699,77,"February"
2012-02-26,76.4461787614356,80,"February"
2012-03-04,84.2766244989076,78,"March"
2012-03-11,78.2183896623691,78,"March"
2012-03-18,77.558009464747,77,"March"
2012-03-25,76.5188156541359,82,"March"
2012-04-01,77.619431623075,80,"April"
2012-04-08,80.8734414715433,87,"April"
2012-04-15,73.6489720255245,82,"April"
2012-04-22,88.13424262534,80,"April"
2012-04-29,75.6111125185747,78,"April"
2012-05-06,78.2703190579916,75,"May"
2012-05-13,78.0241835711389,81,"May"
2012-05-20,75.4140752210405,78,"May"
2012-05-27,81.6667153726731,80,"May"
2012-06-03,77.7937125098125,75,"June"
2012-06-10,82.2738770372212,74,"June"
2012-06-17,83.0745669550626,77,"June"
