"Sales","Date","Promo","SchoolHoliday","Month","DayOfWeek"
5530,2013-01-02,0,1,"January","Wednesday"
4327,2013-01-03,0,1,"January","Thursday"
4486,2013-01-04,0,1,"January","Friday"
4997,2013-01-05,0,1,"January","Saturday"
7176,2013-01-07,1,1,"January","Monday"
5580,2013-01-08,1,1,"January","Tuesday"
5471,2013-01-09,1,1,"January","Wednesday"
4892,2013-01-10,1,1,"January","Thursday"
4881,2013-01-11,1,1,"January","Friday"
4952,2013-01-12,0,0,"January","Saturday"
4717,2013-01-14,0,0,"January","Monday"
3900,2013-01-15,0,0,"January","Tuesday"
4008,2013-01-16,0,0,"January","Wednesday"
4044,2013-01-17,0,0,"January","Thursday"
4127,2013-01-18,0,0,"January","Friday"
5182,2013-01-19,0,0,"January","Saturday"
5394,2013-01-21,1,0,"January","Monday"
5720,2013-01-22,1,0,"January","Tuesday"
5578,2013-01-23,1,0,"January","Wednesday"
5195,2013-01-24,1,0,"January","Thursday"
5586,2013-01-25,1,0,"January","Friday"
5598,2013-01-26,0,0,"January","Saturday"
4055,2013-01-28,0,0,"January","Monday"
3725,2013-01-29,0,0,"January","Tuesday"
4601,2013-01-30,0,0,"January","Wednesday"
4709,2013-01-31,0,0,"January","Thursday"
5633,2013-02-01,0,0,"February","Friday"
5970,2013-02-02,0,0,"February","Saturday"
7032,2013-02-04,1,0,"February","Monday"
6049,2013-02-05,1,0,"February","Tuesday"
6140,2013-02-06,1,0,"February","Wednesday"
5499,2013-02-07,1,0,"February","Thursday"
5681,2013-02-08,1,0,"February","Friday"
5370,2013-02-09,0,0,"February","Saturday"
4409,2013-02-11,0,0,"February","Monday"
4015,2013-02-12,0,0,"February","Tuesday"
4252,2013-02-13,0,0,"February","Wednesday"
4241,2013-02-14,0,0,"February","Thursday"
4809,2013-02-15,0,0,"February","Friday"
6154,2013-02-16,0,0,"February","Saturday"
6407,2013-02-18,1,0,"February","Monday"
5386,2013-02-19,1,0,"February","Tuesday"
5660,2013-02-20,1,0,"February","Wednesday"
5261,2013-02-21,1,0,"February","Thursday"
5000,2013-02-22,1,0,"February","Friday"
5237,2013-02-23,0,0,"February","Saturday"
4038,2013-02-25,0,0,"February","Monday"
3794,2013-02-26,0,0,"February","Tuesday"
4558,2013-02-27,0,0,"February","Wednesday"
4676,2013-02-28,0,0,"February","Thursday"
4611,2013-03-01,0,0,"March","Friday"
5350,2013-03-02,0,0,"March","Saturday"
7675,2013-03-04,1,0,"March","Monday"
6300,2013-03-05,1,0,"March","Tuesday"
5973,2013-03-06,1,0,"March","Wednesday"
5637,2013-03-07,1,0,"March","Thursday"
5853,2013-03-08,1,0,"March","Friday"
5578,2013-03-09,0,0,"March","Saturday"
4949,2013-03-11,0,0,"March","Monday"
3853,2013-03-12,0,0,"March","Tuesday"
4341,2013-03-13,0,0,"March","Wednesday"
5108,2013-03-14,0,0,"March","Thursday"
4925,2013-03-15,0,0,"March","Friday"
5003,2013-03-16,0,0,"March","Saturday"
7072,2013-03-18,1,0,"March","Monday"
6563,2013-03-19,1,0,"March","Tuesday"
5598,2013-03-20,1,0,"March","Wednesday"
5179,2013-03-21,1,0,"March","Thursday"
5506,2013-03-22,1,0,"March","Friday"
5603,2013-03-23,0,0,"March","Saturday"
6729,2013-03-25,1,1,"March","Monday"
6686,2013-03-26,1,1,"March","Tuesday"
6660,2013-03-27,1,1,"March","Wednesday"
7285,2013-03-28,1,1,"March","Thursday"
7132,2013-03-30,0,0,"March","Saturday"
5484,2013-04-02,0,1,"April","Tuesday"
4625,2013-04-03,0,1,"April","Wednesday"
4293,2013-04-04,0,1,"April","Thursday"
4390,2013-04-05,0,1,"April","Friday"
5075,2013-04-06,0,0,"April","Saturday"
6046,2013-04-08,1,0,"April","Monday"
5514,2013-04-09,1,0,"April","Tuesday"
4903,2013-04-10,1,0,"April","Wednesday"
4366,2013-04-11,1,0,"April","Thursday"
5263,2013-04-12,1,0,"April","Friday"
4773,2013-04-13,0,0,"April","Saturday"
3941,2013-04-15,0,0,"April","Monday"
3357,2013-04-16,0,0,"April","Tuesday"
3649,2013-04-17,0,0,"April","Wednesday"
2952,2013-04-18,0,0,"April","Thursday"
4303,2013-04-19,0,0,"April","Friday"
4350,2013-04-20,0,0,"April","Saturday"
5672,2013-04-22,1,0,"April","Monday"
4492,2013-04-23,1,0,"April","Tuesday"
4309,2013-04-24,1,0,"April","Wednesday"
3939,2013-04-25,1,0,"April","Thursday"
4841,2013-04-26,1,0,"April","Friday"
5726,2013-04-27,0,0,"April","Saturday"
5821,2013-04-29,1,0,"April","Monday"
5925,2013-04-30,1,0,"April","Tuesday"
6486,2013-05-02,1,0,"May","Thursday"
6027,2013-05-03,1,0,"May","Friday"
5912,2013-05-04,0,0,"May","Saturday"
4568,2013-05-06,0,0,"May","Monday"
4624,2013-05-07,0,0,"May","Tuesday"
5230,2013-05-08,0,0,"May","Wednesday"
5409,2013-05-10,0,0,"May","Friday"
5064,2013-05-11,0,0,"May","Saturday"
6106,2013-05-13,1,0,"May","Monday"
5083,2013-05-14,1,0,"May","Tuesday"
4790,2013-05-15,1,0,"May","Wednesday"
4448,2013-05-16,1,0,"May","Thursday"
4856,2013-05-17,1,0,"May","Friday"
4413,2013-05-18,0,0,"May","Saturday"
4789,2013-05-21,0,0,"May","Tuesday"
3559,2013-05-22,0,0,"May","Wednesday"
4030,2013-05-23,0,0,"May","Thursday"
4232,2013-05-24,0,0,"May","Friday"
4408,2013-05-25,0,0,"May","Saturday"
5519,2013-05-27,1,0,"May","Monday"
4995,2013-05-28,1,0,"May","Tuesday"
5784,2013-05-29,1,0,"May","Wednesday"
7893,2013-05-31,1,0,"May","Friday"
5693,2013-06-01,0,0,"June","Saturday"
5422,2013-06-03,1,0,"June","Monday"
5220,2013-06-04,1,0,"June","Tuesday"
5012,2013-06-05,1,0,"June","Wednesday"
4881,2013-06-06,1,0,"June","Thursday"
4315,2013-06-07,1,0,"June","Friday"
4262,2013-06-08,0,0,"June","Saturday"
4291,2013-06-10,0,0,"June","Monday"
3784,2013-06-11,0,0,"June","Tuesday"
3563,2013-06-12,0,0,"June","Wednesday"
3661,2013-06-13,0,0,"June","Thursday"
4150,2013-06-14,0,0,"June","Friday"
4766,2013-06-15,0,0,"June","Saturday"
5337,2013-06-17,1,0,"June","Monday"
4633,2013-06-18,1,0,"June","Tuesday"
4180,2013-06-19,1,0,"June","Wednesday"
5011,2013-06-20,1,0,"June","Thursday"
5173,2013-06-21,1,0,"June","Friday"
4341,2013-06-22,0,0,"June","Saturday"
3549,2013-06-24,0,0,"June","Monday"
4536,2013-06-25,0,0,"June","Tuesday"
3827,2013-06-26,0,0,"June","Wednesday"
3593,2013-06-27,0,0,"June","Thursday"
4407,2013-06-28,0,0,"June","Friday"
5804,2013-06-29,0,0,"June","Saturday"
5614,2013-07-01,1,0,"July","Monday"
5868,2013-07-02,1,0,"July","Tuesday"
5875,2013-07-03,1,0,"July","Wednesday"
5701,2013-07-04,1,0,"July","Thursday"
4986,2013-07-05,1,0,"July","Friday"
4090,2013-07-06,0,1,"July","Saturday"
4475,2013-07-08,0,1,"July","Monday"
4047,2013-07-09,0,1,"July","Tuesday"
3963,2013-07-10,0,1,"July","Wednesday"
4053,2013-07-11,0,1,"July","Thursday"
4134,2013-07-12,0,1,"July","Friday"
4015,2013-07-13,0,1,"July","Saturday"
6377,2013-07-15,1,1,"July","Monday"
5643,2013-07-16,1,1,"July","Tuesday"
4946,2013-07-17,1,1,"July","Wednesday"
4904,2013-07-18,1,1,"July","Thursday"
4275,2013-07-19,1,1,"July","Friday"
4421,2013-07-20,0,1,"July","Saturday"
4149,2013-07-22,0,1,"July","Monday"
3937,2013-07-23,0,1,"July","Tuesday"
3849,2013-07-24,0,1,"July","Wednesday"
3502,2013-07-25,0,1,"July","Thursday"
4221,2013-07-26,0,1,"July","Friday"
3352,2013-07-27,0,1,"July","Saturday"
6290,2013-07-29,1,1,"July","Monday"
5773,2013-07-30,1,1,"July","Tuesday"
5572,2013-07-31,1,1,"July","Wednesday"
4994,2013-08-01,1,1,"August","Thursday"
4494,2013-08-02,1,1,"August","Friday"
4461,2013-08-03,0,1,"August","Saturday"
4086,2013-08-05,0,1,"August","Monday"
3582,2013-08-06,0,1,"August","Tuesday"
4143,2013-08-07,0,1,"August","Wednesday"
3680,2013-08-08,0,1,"August","Thursday"
3257,2013-08-09,0,1,"August","Friday"
3768,2013-08-10,0,1,"August","Saturday"
5326,2013-08-12,1,1,"August","Monday"
5299,2013-08-13,1,1,"August","Tuesday"
4724,2013-08-14,1,1,"August","Wednesday"
4575,2013-08-15,1,1,"August","Thursday"
4552,2013-08-16,1,1,"August","Friday"
4078,2013-08-17,0,0,"August","Saturday"
3954,2013-08-19,0,0,"August","Monday"
3492,2013-08-20,0,0,"August","Tuesday"
3096,2013-08-21,0,0,"August","Wednesday"
3703,2013-08-22,0,0,"August","Thursday"
3493,2013-08-23,0,0,"August","Friday"
4752,2013-08-24,0,0,"August","Saturday"
5482,2013-08-26,1,0,"August","Monday"
5156,2013-08-27,1,0,"August","Tuesday"
4583,2013-08-28,1,0,"August","Wednesday"
4804,2013-08-29,1,0,"August","Thursday"
5469,2013-08-30,1,0,"August","Friday"
5317,2013-08-31,0,0,"August","Saturday"
4195,2013-09-02,0,0,"September","Monday"
3928,2013-09-03,0,0,"September","Tuesday"
3343,2013-09-04,0,0,"September","Wednesday"
3883,2013-09-05,0,0,"September","Thursday"
3836,2013-09-06,0,0,"September","Friday"
4663,2013-09-07,0,0,"September","Saturday"
5893,2013-09-09,1,0,"September","Monday"
5403,2013-09-10,1,0,"September","Tuesday"
5103,2013-09-11,1,0,"September","Wednesday"
5079,2013-09-12,1,0,"September","Thursday"
5187,2013-09-13,1,0,"September","Friday"
4663,2013-09-14,0,0,"September","Saturday"
4249,2013-09-16,0,0,"September","Monday"
3685,2013-09-17,0,0,"September","Tuesday"
3946,2013-09-18,0,0,"September","Wednesday"
3717,2013-09-19,0,0,"September","Thursday"
3516,2013-09-20,0,0,"September","Friday"
3909,2013-09-21,0,0,"September","Saturday"
4770,2013-09-23,1,0,"September","Monday"
4274,2013-09-24,1,0,"September","Tuesday"
4212,2013-09-25,1,0,"September","Wednesday"
4481,2013-09-26,1,0,"September","Thursday"
4669,2013-09-27,1,0,"September","Friday"
4175,2013-09-28,0,0,"September","Saturday"
4088,2013-09-30,0,0,"September","Monday"
4178,2013-10-01,0,0,"October","Tuesday"
4001,2013-10-02,0,0,"October","Wednesday"
5447,2013-10-04,0,0,"October","Friday"
5352,2013-10-05,0,0,"October","Saturday"
6004,2013-10-07,1,0,"October","Monday"
5452,2013-10-08,1,0,"October","Tuesday"
4957,2013-10-09,1,0,"October","Wednesday"
5286,2013-10-10,1,0,"October","Thursday"
5896,2013-10-11,1,0,"October","Friday"
4954,2013-10-12,0,0,"October","Saturday"
3773,2013-10-14,0,1,"October","Monday"
3355,2013-10-15,0,1,"October","Tuesday"
