"X","TrumpWrote","text","created_at"
7260,1,"I would like to wish everyone A HAPPY AND HEALTHY NEW YEAR. WE MUST ALL WORK TOGETHER TO, FINALLY, MAKE AMERICA SAFE AGAIN AND GREAT AGAIN!","2015-12-31 23:21:49"
7261,1,"Do you believe that The State Department, on NEW YEAR'S EVE, just released more of Hillary's e-mails. They just want it all to end. BAD!","2015-12-31 23:11:35"
7262,0,"THANK YOU ILLINOIS! Let's not forget to get family &amp; friends- out to VOTE IN 2016! https://t.co/lg5kMbNLYK https://t.co/dtMAsIq4cf","2015-12-31 18:51:12"
7263,0,"HAPPY BIRTHDAY to my son, @DonaldJTrumpJr! Very proud of you! #TBT https://t.co/ULerCEOCGX https://t.co/nbxPVdarJM","2015-12-31 16:52:38"
7264,1,"I would feel sorry for @JebBush and how badly he is doing with his campaign other than for the fact he took millions of $'s of hit ads on me","2015-12-31 15:07:18"
7265,0,"#MakeAmericaGreatAgain #Trump2016 https://t.co/IEIXos0wh9","2015-12-31 12:51:35"
7266,1,"""@whispers34: Nevada Poll: Donald Trump 33%, Ted Cruz 20%, Marco Rubio 11%... https://t.co/Hniy4iAqNG via @thelastrefuge2""  Great news!","2015-12-31 11:01:18"
7267,1,"""@deggow: Just heard a 25 year old man say ""I would rather work for Donald Trump than Bernie Sanders""it's time for me to leave this party.""","2015-12-31 10:53:15"
7268,1,"""@wmsolomon: 'On Point' with Gov. Sarah Palin &amp; Donald Trump https://t.co/wPeScKLDs7""","2015-12-31 10:46:30"
7269,1,"""@stylin1188: Donald Trump is running the most cost-effective presidential campaign in modern history https://t.co/iGyTDDEpbv"" Thank you!","2015-12-31 10:42:47"
7270,1,"""@SenSanders: I have a message for Donald Trump: No, we’re not going to hate Latinos, we’re not going to hate Muslims.""  I fully agree!","2015-12-31 10:28:33"
7271,1,"""@BretBaier: .@realDonaldTrump's reaction that @LindseyGrahamSC is dropping out of the 2016 race. Your thoughts? https://t.co/6VItF0928E""","2015-12-31 10:15:22"
7272,1,"""@InsideGym: The Most Influential U.S. Gymnasts Of All Time: https://t.co/DIGT1wLIx4 @NastiaLiukin @ShawnJohnson @ASAQ_3""   Fantastic Shawn","2015-12-31 10:10:39"
7273,1,"People ask, ""why do you tweet and re-tweet to millions about @JebBush when he is so low in the polls?"" Because of his big $ hit ads on me!","2015-12-31 10:04:36"
7274,1,"""@ddpick18: @realDonaldTrump @JebBush @hughhewitt I get pissed off every time I see his ads on Fox. Waste of money! Go Trump!""  Many do!","2015-12-31 09:58:17"
7275,1,"""@nikkisue69: @realDonaldTrump @JebBush @hughhewitt  Jeb is such a lightweight""","2015-12-31 09:56:51"
7276,1,"""@Luciano031982: @realDonaldTrump Veterans Love Trump"" But I love the VETS even more!","2015-12-31 09:53:33"
7277,1,"""@Trump2016Donald: @realDonaldTrump @JebBush @hughhewitt Patriots for trump! https://t.co/0oBFd9pILR""","2015-12-31 09:52:39"
7278,1,".@JebBush has spent  $63,000,000 and is at the bottom of the polls. I have spent almost nothing and am at the top. WIN!  @hughhewitt","2015-12-31 05:10:16"
7279,1,"""@BentleyforTrump: @realDonaldTrump ALL OF AMERICA LOVES TRUMP!👍👍☺ #TrumpOrNobody2016 #MakeAmericaGreatAgain"" Thank you.","2015-12-31 05:01:23"
7280,1,"A GREAT day in South Carolina. Record crowd and fantastic enthusiasm. This is now a movement to MAKE AMERICA GREAT AGAIN!","2015-12-31 04:15:32"
7281,1,"I predict that dying @UnionLeader newspaper, which has been run into the ground by publisher ""Stinky"" Joe McQuaid, will be dead in 2 years!","2015-12-31 04:11:37"
7282,0,"A lovely letter from the daughter of the late great John Wayne. Our country could use a John Wayne right now. https://t.co/RhN5gVNBqM","2015-12-30 21:57:02"
7283,0,"Great poll- thank you Nevada!
#MakeAmericaGreatAgain #Trump2016 https://t.co/9Lr1v6vjJb","2015-12-30 21:22:22"
7284,0,"I'm going to be live with @ericbolling and @kimguilfoyle to ring in the New Year 2016. Everybody should tune in to @foxnews tomorrow night!","2015-12-30 20:28:58"
7285,0,"Thank you Hilton Head, South Carolina! #MakeAmericaGreatAgain #Trump2016 https://t.co/TBAD5MeYCE","2015-12-30 20:04:39"
7286,0,"Thank you Hilton Head, South Carolina! @SCTeamTrump #Trump2016 https://t.co/RLCz17tIas https://t.co/L5IAlbsdkw","2015-12-30 18:28:44"
7287,1,"I never thought I'd be saying this but I've really enjoyed  @RichLowry on television lately, and he was terrific hosting @seanhannity","2015-12-30 15:52:41"
7288,0,"Joe McQuaid (@deucecrew) is desperately trying to sell the @UnionLeader. It's a loser, and my comments haven't helped him much.","2015-12-30 15:22:44"
7289,0,"The dying @UnionLeader newspaper in NH is in turmoil over my comments about them- like a bully that got knocked out!","2015-12-30 14:06:34"
7290,1,"""@TruthisAll1: @realDonaldTrump @CharlesHurt @seanhannity Good morning, Mr. Trump. You're so AWESOME. #Trump2016 https://t.co/LljQbi4fdP""","2015-12-30 13:16:31"
7291,1,"""@bfb123456: @trumpiowa @PlaysTrumpCard @realDonaldTrump  WOW! FANTASTIC!. WHO KNEW AMERICANS WERE SO SMART? GREAT TO KNOW WE'RE so smart""","2015-12-30 13:16:08"
7292,1,"""@hammetjohn: DonaldTrump - How do u do it Donald. No one could keep up with u at your pace. Shows how hard u will work for us as President""","2015-12-30 13:15:03"
7293,1,"""@videosigninc: @realDonaldTrump Keep the momentum going Mr. Trump. All the best to you for the New Year. Make America Great Again !"" Thanks","2015-12-30 13:12:53"
7294,1,"""@Hashtag1USA: @realDonaldTrump what do you think of Jeb cancelling his Iowa rally last night ? https://t.co/1oe798AAEU"" I went, he didn't!","2015-12-30 13:12:03"
7295,1,"Iowa was fantastic last night, amazing crowd and people. I'm now in Florida, getting ready to go to South Carolina. Big crowd, very exciting","2015-12-30 13:08:07"
7296,1,".@CharlesHurt   You were great on @seanhannity last night. Thanks for the nice words. MAKE AMERICA GREAT AGAIN!","2015-12-30 12:31:59"
7297,0,"THANK YOU Council Bluffs, Iowa! The silent majority, is silent no more!
#Trump2016 #FITN https://t.co/VTAe68eQ1k https://t.co/IPsJPVH5JP","2015-12-30 04:02:06"
7298,0,"Joe McQuaid (@deucecrew) of the dying Union Leader wanted ads, lunches, donations, speeches from me, and tweets---very unethical.","2015-12-30 00:37:25"
7299,0,"The great people of New Hampshire, who I love, are not properly served by the dying Union Leader newspaper.","2015-12-30 00:37:11"
7300,0,"Shows how dumb Joe McQuaid (@deucecrew) of the dying Union Leader is to put out the letter I wrote saying why I didn't do his failed debate!","2015-12-30 00:36:45"
7301,0,"I hope @TGowdySC does better for Rubio than he did at the #Benghazi hearings, which were a total disaster for Republicans &amp; America!","2015-12-29 20:36:35"
7302,1,"So, I have spent almost nothing on my run for president and am in 1st place. Jeb Bush has spent $59 million &amp; done. Run country my way!","2015-12-29 14:39:30"
7303,1,"My campaign for president is $35,000,000 under budget, I have spent very little (and am in 1st place).Now I will spend big in Iowa/N.H./S.C.","2015-12-29 14:33:51"
7304,0,"""Minorities line up behind.....Donald Trump"" #Trump2016 #MakeAmericaGreatAgain https://t.co/cEMKihLZbK https://t.co/SxuutW2onm","2015-12-29 12:38:02"
7305,1,".@jessebwatters is terrific at hosting on @FoxNews - he really gets it!","2015-12-29 04:39:36"
7306,1,"Remember that Bill Clinton was brought in to help Hillary against Obama in 2008. He was terrible, failed badly, and was called a racist!","2015-12-29 04:31:18"
7307,1,"""@LeeMiracle3: @FoxNews @CharlesHurt @realDonaldTrump Trump listening to voters, unlike GOP""","2015-12-29 03:52:26"
7308,1,"""@umakemeill: @FoxNews @JebBush @HillaryClinton @realDonaldTrump https://t.co/uI6tmYH5ka""","2015-12-29 03:46:24"
7309,1,"""@IJNIPGM: No casualties. Just victory, victory, and more victory as you proclaim the truth that is in your heart. We love God and USA""","2015-12-29 03:45:58"
7310,1,"""@sunquist007: @JebBush Why do u keep trying to attack Trump? Really dumb strategy! U lose, he wins! #lets make America great again!!!!!""","2015-12-29 03:45:21"
7311,1,"""@slone: FLASHBACK1986: @realDonaldTrump Saved a Georgia Farm https://t.co/EoKDLePxUR https://t.co/MaEHiEQoMI"" Thank you, nice memories!","2015-12-29 03:40:41"
7312,0,"Thank you- Nashua, New Hampshire! #MakeAmericaGreatAgain #Trump2016 
#NHPolitics #FITN https://t.co/QPj5gb3wib https://t.co/I1lMmcYk3l","2015-12-29 03:28:54"
7313,0,"Thank you! #Trump2016 
https://t.co/dTL7uybyeH https://t.co/yhQUQiuswl","2015-12-28 22:51:33"
7314,0,"Thank you to a #Trump2016 supporter for this video of my campaign- over the past 6 months. Video: https://t.co/yawywElMwa","2015-12-28 22:45:19"
7315,1,"Strange, but I see wacko Bernie Sanders allies coming over to me because I'm lowering taxes, while he will double &amp; triple them, a disaster!","2015-12-28 13:34:30"
7316,1,"Wages in are country are too low, good jobs are too few,  and people have lost faith in our leaders.We need smart and strong leadership now!","2015-12-28 12:50:23"
7317,1,"Many of the great jobs that the people of our country want are long gone, shipped to other countries. We now are part time, sad! I WILL FIX!","2015-12-28 12:42:06"
7318,1,"The middle-class has worked so hard, are not getting the kind of jobs that they have long dreamed of - and no  effective raise in years. BAD","2015-12-28 12:30:43"
7319,1,"If Hillary thinks she can unleash her husband, with his terrible record of women abuse, while playing the women's card on me, she's wrong!","2015-12-28 12:12:10"
7320,1,"""@BornToBeGOP: @realDonaldTrump We need a real President to get things done, and that's why we want you!""  Thank you.","2015-12-28 03:05:04"
7321,1,"Hopefully the Republican National Committee can straighten out the total mess that is taking place in Virginia's Republican Party. FAST!","2015-12-28 03:03:29"
7322,1,"Straighten out The Republican Party of Virginia before it is too late. Stupid!  RNC","2015-12-27 16:59:15"
7323,1,".@BernieSanders-who blew his campaign when he gave Hillary a pass on her e-mail crime, said that I feel wages in America are too high. Lie!","2015-12-27 16:49:55"
