"","word","freq"
"1","episod",2283
"2","song",1068
"3","full",1042
"4","news",897
"5","movi",717
"6","telugu",702
"7","may",592
"8","serial",562
"9","latest",530
"10","march",520
"11","preview",495
"12","new",480
"13","tamil",466
"14","etv",448
"15","april",416
"16","februari",399
"17","decemb",391
"18","januari",390
"19","promo",390
"20","scene",381
"21","की",375
"22","best",369
"23","में",363
"24","live",355
"25","offici",355
"26","trailer",346
"27","के",338
"28","comedi",338
"29","affair",336
"30","punjabi",333
"31","sun",333
"32","current",320
"33","review",315
"34","india",313
"35","pawan",303
"36","day",291
"37","का",280
"38","khan",272
"39","hindu",263
"40","kalyan",261
"41","film",236
"42","teaser",225
"43","reddi",220
"44","june",215
"45","sridevi",214
"46","से",209
"47","boss",204
"48","singh",204
"49","sri",200
"50","tv9",200
"51","पर",199
"52","zhala",197
"53","rani",196
"54","interview",190
"55","hindi",189
"56","vijay",189
"57","jabardasth",188
"58","kapoor",185
"59","sharma",185
"60","को",184
"61","talk",180
"62","bigg",177
"63","funni",169
"64","lagira",167
"65","jee",165
"66","actress",163
"67","raja",163
"68","ने",161
"69","special",160
"70","analysi",157
"71","first",157
"72","speech",157
"73","life",156
"74","paper",154
"75","editori",153
"76","kumar",153
"77","जी",153
"78","season",150
"79","music",149
"80","time",149
"81","love",147
"82","webisod",147
"83","odia",146
"84","mehta",145
"85","taarak",142
"86","mahesh",142
"87","seri",141
"88","tarangtv",141
"89","part",141
"90","ooltah",138
"91","releas",137
"92","sai",136
"93","chashmah",136
"94","jan",135
"95","girl",134
"96","bhagya",133
"97","exclus",133
"98","kannada",132
"99","plus",130
"100","upscsscibp",127
"101","ராணி",127
"102","public",127
"103","வாணி",126
"104","vaani",124
"105","babu",123
"106","manorama",123
"107","mazhavil",122
"108","web",120
"109","meet",118
"110","indian",117
"111","reaction",116
"112","media",113
"113","marathi",113
"114","anushka",112
"115","salman",112
"116","malayalam",111
"117","exam",110
"118","हैं",110
"119","ఈ",109
"120","hack",109
"121","भाग्य",108
"122","comment",108
"123","है",107
"124","marriag",107
"125","perform",106
"126","wed",106
"127","kapil",106
"128","arjun",106
"129","mandaram",105
"130","muddha",105
"131","get",105
"132","ram",105
"133","uppum",103
"134","घर",103
"135","mega",103
"136","fan",103
"137","sbi",102
"138","wife",102
"139","type",102
"140","anchor",102
"141","year",102
"142","super",102
"143","final",101
"144","shock",101
"145","actor",101
"146","bhai",100
"147","discuss",99
"148","nandini",98
"149","dub",98
"150","sathi",98
"151","black",97
"152","mulakum│flowers│ep",96
"153","modi",96
"154","priyamanav",95
"155","clerk",94
"156","kathi",94
"157","haryanvi",93
"158","naa",93
"159","veer",92
"160","parti",91
"161","dec",91
"162","mein",90
"163","tollywood",90
"164","rangasthalam",90
"165","1st",89
"166","updat",89
"167","hai",89
"168","daili",88
"169","2nd",88
"170","teenmaar",88
"171","real",88
"172","nani",87
"173","big",87
"174","stori",87
"175","highlight",87
"176","celebr",86
"177","top",86
"178","fun",86
"179","स्पेशल",86
"180","bithiri",86
"181","extra",84
"182","bhojpuri",84
"183","reveal",83
"184","kuladheivam",83
"185","cinema",82
"186","phulpakhru",82
"187","record",82
"188","pata",82
"189","virat",81
"190","hain",81
"191","और",81
"192","भजन",81
"193","yoyo",80
"194","flower",80
"195","prank",80
"196","feb",79
"197","बाल",79
"198","feat",79
"199","gujarati",79
"200","pradeep",79
