"","word","freq"
"1","episod",2283
"2","song",1068
"3","full",1042
"4","news",897
"5","movi",717
"6","telugu",702
"7","may",592
"8","serial",562
"9","latest",530
"10","march",520
"11","preview",495
"12","new",480
"13","tamil",466
"14","etv",448
"15","april",416
"16","februari",399
"17","decemb",391
"18","januari",390
"19","promo",390
"20","scene",381
"21","best",369
"22","में",363
"23","live",355
"24","offici",355
"25","trailer",346
"26","comedi",338
"27","affair",336
"28","punjabi",333
"29","sun",333
"30","current",320
"31","review",315
"32","india",313
"33","pawan",303
"34","day",291
"35","khan",272
"36","hindu",263
"37","kalyan",261
"38","film",236
"39","teaser",225
"40","reddi",220
"41","june",215
"42","sridevi",214
"43","boss",204
"44","singh",204
"45","sri",200
"46","tv9",200
"47","zhala",197
"48","rani",196
"49","interview",190
"50","hindi",189
"51","vijay",189
"52","jabardasth",188
"53","kapoor",185
"54","sharma",185
"55","talk",180
"56","bigg",177
"57","funni",169
"58","lagira",167
"59","jee",165
"60","actress",163
"61","raja",163
"62","special",160
"63","analysi",157
"64","first",157
"65","speech",157
"66","life",156
"67","paper",154
"68","editori",153
"69","kumar",153
"70","season",150
"71","music",149
"72","time",149
"73","love",147
"74","webisod",147
"75","odia",146
"76","mehta",145
"77","mahesh",142
"78","taarak",142
"79","part",141
"80","seri",141
"81","tarangtv",141
"82","ooltah",138
"83","releas",137
"84","chashmah",136
"85","sai",136
"86","jan",135
"87","girl",134
"88","bhagya",133
"89","exclus",133
"90","kannada",132
"91","plus",130
"92","public",127
"93","upscsscibp",127
"94","ராணி",127
"95","வாணி",126
"96","vaani",124
"97","babu",123
"98","manorama",123
"99","mazhavil",122
"100","web",120
"101","meet",118
"102","indian",117
"103","reaction",116
"104","marathi",113
"105","media",113
"106","anushka",112
"107","salman",112
"108","malayalam",111
"109","exam",110
"110","हैं",110
"111","hack",109
"112","comment",108
"113","भाग्य",108
"114","marriag",107
"115","arjun",106
"116","kapil",106
"117","perform",106
"118","wed",106
"119","get",105
"120","mandaram",105
"121","muddha",105
"122","ram",105
"123","fan",103
"124","mega",103
"125","uppum",103
"126","anchor",102
"127","sbi",102
"128","super",102
"129","type",102
"130","wife",102
"131","year",102
"132","actor",101
"133","final",101
"134","shock",101
"135","bhai",100
"136","discuss",99
"137","dub",98
"138","nandini",98
"139","sathi",98
"140","black",97
"141","modi",96
"142","mulakum│flowers│ep",96
"143","priyamanav",95
"144","clerk",94
"145","kathi",94
"146","haryanvi",93
"147","naa",93
"148","veer",92
"149","dec",91
"150","parti",91
"151","mein",90
"152","rangasthalam",90
"153","tollywood",90
"154","1st",89
"155","hai",89
"156","updat",89
"157","2nd",88
"158","daili",88
"159","real",88
"160","teenmaar",88
"161","big",87
"162","highlight",87
"163","nani",87
"164","stori",87
"165","bithiri",86
"166","celebr",86
"167","fun",86
"168","top",86
"169","स्पेशल",86
"170","bhojpuri",84
"171","extra",84
"172","kuladheivam",83
"173","reveal",83
"174","cinema",82
"175","pata",82
"176","phulpakhru",82
"177","record",82
"178","hain",81
"179","virat",81
"180","भजन",81
"181","flower",80
"182","prank",80
"183","yoyo",80
"184","feat",79
"185","feb",79
"186","gujarati",79
"187","pradeep",79
"188","बाल",79
"189","allu",78
"190","ghar",78
"191","manasu",78
"192","today",78
"193","फुलपाखरु",78
"194","par",77
"195","priya",77
"196","samantha",77
"197","desi",76
"198","mar",76
"199","man",75
"200","suresh",75
