"","word","freq"
"27","bhadana",17
"48","hbo",14
"50","giant",13
"154","logan",7
"169","miniatur",6
"201","edibl",6
"209","chainsmok",5
"280","ralph",4
"331","paramount",4
"365","diyan",4
"390","rautela",3
"391","urvashi",3
"401","tanishk",3
"441","younick",3
"448","cardi",3
"456","fortnit",3
"457","jennif",3
"459","kulwind",3
"501","armaan",3
"504","gurnam",3
"513","arko",3
"525","dastaan",3
"556","r2h",3
"557","round2hel",3
"562","yuzvendra",2
"563","wreckit",2
"569","vivan",2
"583","cohen",2
"586","sainika",2
"590","ryan",2
"612","karnama",2
"615","spaghetti",2
"624","aaryan",2
"625","bharucha",2
"627","nushrat",2
"630","prada",2
"638","jijaji",2
"639","sukhwind",2
"646","abhinetri",2
"647","prabhudeva",2
"651","taiyari",2
"680","parmanuth",2
"685","shivjot",2
"702","scold",2
"703","flip",2
"708","kendrick",2
"715","stone",2
"726","rakam",2
"729","carpool",2
"730","karaok",2
"738","jogind",2
"739","subedar",2
"751","everybodi",2
"754","bacon",2
"759","directorgifti",2
"761","venom",2
"765","mankirt",2
"780","👏",2
"782","amaal",2
"783","malik",2
"784","mallik",2
"785","ghate",2
"801","patni",2
"805","boond",2
"814","chowta",2
"827","navraj",2
"833","adil",2
"834","faisla",2
"837","s01e05",2
"839","pork",2
"852","slav",2
"861","saheb",2
"870","terrifi",2
"871","badhiya",2
"874","uch",2
"881","balraj",2
"882","prakriti",2
"884","shamshera",2
"891","weeknd",2
"895","halka",2
"899","jawanda",2
"900","rajvir",2
"907","lego",2
"918","10000",2
"923","peke",2
"929","raftaar",2
"930","tochan",2
"932","saathi",2
"952","pho",2
"957","westworld",2
"958","culkin",2
"959","macaulay",2
"961","bagel",2
"979","pie",2
"986","cheesesteak",2
"987","backyard",2
"997","toast",2
"1004","diggi",2
"1005","iraga",2
"1008","s5e5",1
"1009","cameo",1
"1011","owe",1
"1022","vegana",1
"1024","abandon",1
"1026","wonderland",1
"1032","wahi",1
"1034","loyalist",1
"1038","miyan",1
"1042","chain",1
"1047","hide",1
"1049","there",1
"1050","weve",1
"1052","author",1
"1053","confront",1
"1064","kushti",1
"1066","gucci",1
"1070","disgrac",1
"1075","dukh",1
"1080","nutcrack",1
"1082","disinvit",1
"1084","kneel",1
"1087","humaretitl",1
"1090","kadir",1
"1092","sunheri",1
"1093","thind",1
"1094","peekematchala",1
"1102","taara",1
"1103","tare",1
"1104","beyounick",1
"1105","groov",1
"1110","s02e03",1
