"","Term","Info1","Info2","Freq"
"1069","Tonight","名詞","一般",11
"2260","HBO","名詞","固有名詞",11
"912","RAPPER","名詞","一般",8
"1076","Trailers","名詞","一般",5
"2133","Dude","名詞","固有名詞",5
"2290","Honest","名詞","固有名詞",5
"2826","Theory","名詞","固有名詞",5
"517","Controversy","名詞","一般",4
"638","Giuliani","名詞","一般",4
"695","Indiana","名詞","一般",4
"827","Nguội","名詞","一般",4
"867","Pacers","名詞","一般",4
"882","Phường","名詞","一般",4
"1942","Avail","名詞","固有名詞",4
"1982","Bepannah","名詞","固有名詞",4
"2039","Chainsmokers","名詞","固有名詞",4
"2175","FAPtv","名詞","固有名詞",4
"2182","FNAF","名詞","固有名詞",4
"2437","Loa","名詞","固有名詞",4
"2674","Rudy","名詞","固有名詞",4
"3020","エイブル","名詞","固有名詞",4
"503","Closer","名詞","一般",3
"548","Deal","名詞","一般",3
"568","Dubbed","名詞","一般",3
"622","Fries","名詞","一般",3
"630","Gambino","名詞","一般",3
"665","Hindi","名詞","一般",3
"754","Lovato","名詞","一般",3
"866","POSTER","名詞","一般",3
"925","Released","名詞","一般",3
"965","Scandal","名詞","一般",3
"1018","Straight","名詞","一般",3
"1036","TRỌ","名詞","一般",3
"1068","Toast","名詞","一般",3
"1080","Tricks","名詞","一般",3
"1088","TÙNG","名詞","一般",3
"1148","XÓM","名詞","一般",3
"1262","Đây","名詞","一般",3
"1823","$100","名詞","固有名詞",3
"1945","Avicii","名詞","固有名詞",3
"2118","Demi","名詞","固有名詞",3
"2129","Drake","名詞","固有名詞",3
"2250","God","名詞","固有名詞",3
"2295","Huge","名詞","固有名詞",3
"2319","Incredibles","名詞","固有名詞",3
"2320","Indonesian","名詞","固有名詞",3
"2328","Iran","名詞","固有名詞",3
"2396","LAUGH","名詞","固有名詞",3
"2570","PAUL","名詞","固有名詞",3
"2703","SQUARE","名詞","固有名詞",3
"2704","SQUARE","名詞","固有名詞",1
"2772","SƠN","名詞","固有名詞",3
"2872","Vape","名詞","固有名詞",3
"3142","感想文","名詞","固有名詞",3
"307","宣","名詞","サ変接続",2
"360","精勤","名詞","サ変接続",2
"376","連射","名詞","サ変接続",2
"418","Australian","名詞","一般",2
"490","Changed","名詞","一般",2
"493","Cheesesteak","名詞","一般",2
"506","Colbert","名詞","一般",2
"526","Crackdown","名詞","一般",2
"529","Custom","名詞","一般",2
"589","Exclusive","名詞","一般",2
"615","Flipping","名詞","一般",2
"652","Guns","名詞","一般",2
"2257","Guns","名詞","固有名詞",1
"666","Hirani","名詞","一般",2
"685","INE","名詞","一般",2
"773","MOVING","名詞","一般",2
"2460","MOVING","名詞","固有名詞",1
"795","Minnesota","名詞","一般",2
"849","Oklahoma","名詞","一般",2
"2553","Oklahoma","名詞","固有名詞",1
"850","Olvido","名詞","一般",2
"856","Orleans","名詞","一般",2
"876","Pelicans","名詞","一般",2
"880","Pet","名詞","一般",2
"885","Pie","名詞","一般",2
"892","Pork","名詞","一般",2
"2614","Pork","名詞","固有名詞",1
"895","Practice","名詞","一般",2
"915","RESUMEN","名詞","一般",2
"938","Rules","名詞","一般",2
"986","Shows","名詞","一般",2
"1008","Spurs","名詞","一般",2
"1047","Technology","名詞","一般",2
"1066","Timberwolves","名詞","一般",2
"1079","Trick","名詞","一般",2
"1093","Tết","名詞","一般",2
"1141","Wonka","名詞","一般",2
"1145","Wrong","名詞","一般",2
"1233","tephen","名詞","一般",2
"1279","МА","名詞","一般",2
"1302","りょう","名詞","一般",2
"1380","ドル袋","名詞","一般",2
"1928","Anne","名詞","固有名詞",2
"1936","Ariana","名詞","固有名詞",2
"1974","Bagel","名詞","固有名詞",2
"1980","Becky","名詞","固有名詞",2
"2014","CHUYỆN","名詞","固有名詞",2
