"","word","freq"
"1","offici",421
"2","trailer",267
"3","new",150
"4","live",127
"5","day",111
"6","first",110
"7","star",109
"8","game",107
"9","get",101
"10","war",95
"11","makeup",93
"12","audio",91
"13","music",87
"14","espn",83
"15","tri",83
"16","movi",82
"17","black",77
"18","challeng",76
"19","time",74
"20","world",74
"21","jame",71
"22","take",71
"23","best",71
"24","full",70
"25","make",70
"26","season",69
"27","one",67
"28","react",67
"29","talk",66
"30","play",66
"31","super",64
"32","christma",63
"33","love",62
"34","test",62
"35","last",61
"36","bowl",61
"37","trump",59
"38","year",58
"39","netflix",58
"40","look",56
"41","top",55
"42","news",54
"43","lyric",54
"44","highlight",54
"45","night",53
"46","review",53
"47","teaser",52
"48","life",51
"49","like",51
"50","john",50
"51","stephen",50
"52","diy",49
"53","hous",49
"54","part",46
